,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
113,,,,https://uy.linkedin.com/jobs/view/ssr-sr-full-stack-django-react-developer-at-octobot-3626175196?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=GXD9oG4oAMonQbFCLSRlsw%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
114,Documentum Developer,Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/documentum-developer-at-launchpad-technologies-inc-3570889230?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=EiuTIHXKOMk0uZg5%2BDPJnw%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card,"Recognized as one of Canada’s fastest-growing companies, Launchpad provides next-generation integration platform capabilities for connecting and managing enterprise automation and data integration. Headquartered in Vancouver, Canada, our operations span both North and South Americas, with a second headquarter located in Santiago, Chile. In 2021, we were recognized as the winner of the BC Tech Associations Technology Impact Awards 'Company of The Year: Growth'. We recognize the global truth that today, every company is a tech company. To succeed, every company everywhere needs their data and workflows to be integrated and automated. That understanding gave us the confidence to compete with our sector's leading providers, win top-level contracts, and build a truly world-class list of clients that includes Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more. Our vision is to bring people and technology together to work seamlessly to achieve extraordinary business outcomes and create more efficient societies. If this sounds like something you want to be part of, we’d love to hear from you. You will be responsible for the delivery and support of the enterprise wide OpenText/Documentum Platform product stack. Additionally, this role requires actively working, and aligning solutions, with both IT and non-IT groups throughout. Responsibilities: Support of current Documentum (WebTop, D2) and future Documentum environments will be the primary focus. This includes design, configuration, security management, workflow, development, and other administration tasks enterprise wide.  Providing alternatives and new ideas for requested technical solutions regarding content management.  Ability to consult with personnel at all levels of the organization to discuss business requirements and potential solutions.  Analyze and design functional and non-functional ECM systems software requirements with minimal guidance.  Ability to address and reconcile problems within scope, and timeline.  Assist with the training of users on processes and systems.  Ability to prepare test plans, lead testing efforts and implement defined solutions.  Monitor the performance and utilization of Documentum environment to ensure uptime and performance metrics meet required targets.  Skills: 5+ years administering and developing within Documentum Experience with D2, Brava, Asset Operations (AO), and the Documentum Platform (Content Server, xPlore, etc.).  Track record of developing, and supporting large scale end-to-end OpenText/Documentum solutions Advanced expertise of the OpenText/Documentum technology stack including WebTop, Content Server, Asset Operations, D2, Brava, SmartView, xPlore, and other OpenText applications required to meet business future needs Working knowledge of Windows Server, SQL Server, Active Directory as they pertain to the OpenText/Documentum stack Enterprise environment experience Java development Source Control Content Server, D2, xPlore configurations Why work for Launchpad? 100% remote People first culture Excellent compensation in US Dollars Hardware setup for working from home Work with global teams and prominent brands based in North America, Europe, and Asia Training allowances Personal time off (PTO) for vacations, study leave, personal time, etc.  ...and more! At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally. Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",,,,
115,,,,https://uy.linkedin.com/jobs/view/latam-%F0%9F%93%8D-deskpot-engineer-%F0%9F%9A%80-100%25-remote-for-usa-%F0%9F%8C%9F-at-prometeo-consultora-de-recursos-humanos-reclutamiento-y-selecci%C3%B3n-ti-atracci%C3%B3n-de-talento-3633813714?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=ZanfIWxrWe%2FUp0kjtHMaKg%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
116,Python Engineer - Data Center Hardware Integration (Greater Boston Area),Jornada completa,"Montevideo, Montevideo, Uruguay",https://uy.linkedin.com/jobs/view/python-engineer-data-center-hardware-integration-greater-boston-area-at-canonical-3641752253?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=yW99KMhne%2Bpnyco%2BeMUNIg%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card,"This role is home based in the Boston metropolitan area, and you are expected to be able to visit our Boston lab regularly, 4 - 6 times per month. This is a Python software engineering opportunity for a computer lab engineer passionate about open source software, Linux, and the latest server and network technologies. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company. If you love hacking in your home lab and are curious about hardware, you will love this opportunity. As an Python Engineer - Data Center Hardware Integration in Canonical, you will be responsible for the day-to-day management and operations of our lab in the Boston area which serves as a centre point for Ubuntu server certification of US based silicon and server designs. This includes software defined hardware management, working with, and developing data centre automation tooling (MAAS), interacting with vendors, asset tracking and handling deliveries. What you'll do Own a fully automated server lab with the latest server and network silicon from leading vendors.  Use your Python development skills to develop the Metal as a Service (MAAS) software to work with a large variety of server and network hardware.  Actively expand MAAS functionality by creating integrations with testing and scheduling software such as Testflinger.  Manage the physical setup of the lab, ensure it is well structured and tidy, and execute changes either self or through remote hands.  Work to standardise processes, configurations, and procedures in cooperation with engineers in our other data centres.  Improve and extend hardware and network monitoring through automation.  Regularly update asset management tools to ensure accuracy and completeness of the lab's hardware.  Update of equipment firmware when appropriate/needed.  Who you are Bachelor's degree, preferably in Computer Science or Software Engineering Python programming experience Linux Administration experience Mix of Rack and Virtual systems experience Able to communicate clearly and effectively in English Strong time management skills Ability to manage competing priorities Ability to work with a globally distributed team of passionate engineers We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your   identity , we will give your application fair consideration.",,,,
117,,,,https://uy.linkedin.com/jobs/view/junior-c%23-developer-at-sophilabs-3653636266?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=7cvIBlnS5uzr%2BTNlo6b6kQ%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
118,,,,https://uy.linkedin.com/jobs/view/semi-senior-fullstack-react-engineer-at-sophilabs-3653255145?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=uQ%2BwzBFf7yZJJ5Uj3hUPeA%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
119,,,,https://uy.linkedin.com/jobs/view/software-development-engineer-in-test-at-launchpad-technologies-inc-3591585690?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=obY3AHJ6JH1rsxEnbACPFQ%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
120,,,,https://uy.linkedin.com/jobs/view/react-engineer-remote-full-time-at-bluelight-consulting-devops-software-development-3575090352?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=xqF8L3CTEJhHh7bFsdP5FA%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
121,,,,https://uy.linkedin.com/jobs/view/lead-python-developer-at-epam-systems-3509431826?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=k%2FFraSgHdZTmLLBWhanWrw%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
122,,,,https://uy.linkedin.com/jobs/view/software-engineer-at-launchpad-technologies-inc-3628321271?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=DMIH1SRUO2Eakv914WnY7Q%3D%3D&position=23&pageNum=4&trk=public_jobs_jserp-result_search-card,,,,,
123,Fullstack Java Engineer,Jornada completa,Uruguay,https://uy.linkedin.com/jobs/view/fullstack-java-engineer-at-sophilabs-3653252589?refId=uE20wQpNDfvx64pmq1C3MQ%3D%3D&trackingId=q9DWNmFkKRoUef1Xq7UdOQ%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card,"A Typical Day As a  Fullstack Java Engineer , you will be in charge of designing and developing Java applications. You will be responsible for analyzing the business objectives and user requirements, to determine and implement the characteristics and functionalities of the applications. Qualifications Fluency in Java. Design and implement Java-based applications. Define the objectives, characteristics, and functionalities of the application. Design, develop and test software applications. Debug and solve technical problems. Produce detailed design documentation. Analyze the existing Java infrastructure and recommend improvements. Familiarity with Angular and/or React Mastery of Java data structures, algorithms, and software design. Customer success-oriented Fluency in English is a must   Preferred qualifications Familiarity with build tools such as Maven, Ant, and Gradle. Solid knowledge of source code control systems (Git, Merging, Branching, Pull Requests). Good understanding of Java (J2EE) internals. Knowledge of SQL, relational databases such as PostgreSQL, My SQL, etc, non-relational databases such as MongoDB or SolR, and ORM technologies (Hibernate, JPA2). Experience with test-driven development. Experience in Agile/Scrum methodology. Full-time and Remote availability.   We offer 🚀 An opportunity to grow and develop your career with training, English support and courses, investment days, books, conference support, coaching, and 360 feedback. 🌱 A good work-life balance with a remote working policy and gym membership discount. If you share our commitment to delivering excellent client-focused service and putting customers first, enjoy working in teams, and are always looking to improve, join us!",,,,
